g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
506,Corn,Sacramento River,12510.63153,234.0503904,6.094333333,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1284.157581709383,9.551572361443517,1284.157581709383,453.1620153,830.9955664,-4.882352941,0.053820058030401255,0.9461529050205872,2.3321281127930647e-05,3.7156678838381983e-06,3.422363643276406,0.00026644,111294.4422583061,12510.631400419146,35365.98445,0.000129581,0.007844673,1.0357658920166623e-08,2.21814020463076e-07,GOOD,245.7529099,1227.62008
506,Cotton,Sacramento River,1065.945079,1698.847366,0.768,2.633766816,0.148539114,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,131.6883408,1172.354429,9.387898396857386,1172.354429,453.1620153,719.1924134,-4.882352941,0.072984624,0.9269827918351218,2.77148114573114e-05,4.8694525000600925e-06,0.45923294909243945,0.00137961,119814.7184650053,1065.9450610450035,2807.4501637325707,1.7954996565094916e-05,0.000613016,1.684420418914933e-08,2.183532952043794e-07,GOOD,1783.789734,1119.679092
506,Cucurbits,Sacramento River,7516.208627,202.6283347,12.01,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2334.027768,23.284271465251383,2334.027768,453.1620153,1880.865753,-4.882352941,0.4627022836259309,0.5371228037884896,4.535245337834477e-05,0.00012956,10.344317035693242,0.002660916,0.001456992,7516.208630883884,14817.190859793145,-3.88E-06,0.00291698,5.167345052965185e-10,1.9686455997198346e-07,GOOD,212.7597514,2294.60046
506,Dry Beans,Sacramento River,3373.102493,1266.145204,1.1645,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,1358.873333,12.152157696865938,1358.873333,453.1620153,905.7113178,-4.882352941,0.17063751708982183,0.8292884473824135,6.070479038385075e-05,1.33307373807296e-05,0.8243190489079645,0.000176466,2831070.2409645272,3373.102501123902,7737.257767052546,-8.12E-06,0.001555551,2.408436233074128e-09,2.0104674083546033e-07,GOOD,1329.452464,1312.997115
506,Grain,Sacramento River,26284.9096,191.5900547,3.07125,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,548.0170254,13.869960379881235,548.0170254,453.1620153,94.85501003,-4.882352941,0.9768275085415316,0.022104912370032294,0.00086637,0.000201209,3.1009898540077465,5.141167962591553e-05,479424.6324395634,26284.92716215951,20740.449796329824,-0.01756216,-0.009635192,6.681460875835141e-07,4.645606556798049e-07,GOOD,201.1695574,532.2357726
506,Onions & Garlic,Sacramento River,334.0844892,216.2659801,21.192,2.113494575,0.178481578,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50,105.67472874999999,4476.5999479291995,40.98130279415883,4476.5999479291995,453.1620153,4023.437933,-4.882352941,0.5230983036421362,0.47682510405602024,4.475845727048598e-05,3.1833844572984626e-05,18.64749174422684,0.007300621,48084.14595611754,334.08448959114145,706.0856472047427,-3.91E-07,0.000108311,1.1707859947364548e-09,1.5339652791164874e-07,GOOD,227.0792791,4434.330056
506,Other Deciduous,Sacramento River,81700.08673,1912.296442,2.071666667,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3794.350572348099,22.55356676043233,3794.350572348099,453.1620153,3341.188557,-4.882352941,0.060481724,0.939507308,5.444025332003073e-06,5.524136928117341e-06,1.176537596604345,9.415299297941996e-05,16194.517734014134,81700.08654919452,271876.7062941786,0.000180805,0.054864233,2.213039025748115e-09,2.0179817116882706e-07,GOOD,2007.911264,3727.795744
506,Pasture,Sacramento River,10526.79025,192.6261375,5,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,764.1550464,4.609947812378334,764.1550464,453.1620153,310.9930311,-4.882352941,0.004602004,0.9953959184728806,1.1438045181132242e-06,9.334339725476389e-07,1.7411683595256793,0.000186266,235260.35661747496,10526.788650310544,41744.95035307203,0.001599689,0.016364314,1.5196364877417648e-07,3.920068881495033e-07,GOOD,202.2574444,684.8431845
506,Rice,Sacramento River,187985.7472,557.2050126,4.593333333,4.534377778,0.381523094,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50,226.71888889999997,2331.7033675222656,10.703923249923573,2331.7033675222656,453.1620153,1878.541352,-4.882352941,0.006369855,0.9936284391304846,1.488865578764552e-06,2.1710677083784703e-07,1.6620564844941201,2.6597761130690656e-05,475983.0230351198,187985.74470324386,852398.2044753587,0.002496756,0.1902090470539406,1.3281624723053789e-08,2.2314571242753701e-07,GOOD,585.0652632,2241.015812
506,Safflower,Sacramento River,2307.680114,564.3278475,1.0135,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000001,453.16201534424994,4.5857148526019325,453.16201534424994,453.1620153,0,-4.882352941,0.05528119,0.944653336,5.1708026813542394e-05,1.3766422681930596e-05,0.5873664168683735,0.000585589,175.3794725,2307.6704076821075,5439.195128281758,0.009706318,0.024152632773621008,4.206093311390198e-06,4.440459471521815e-06,GOOD,592.5442399,406.0218658
