g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
504,Truck Crops,Sacramento River,161.4988504,2564.221676,14.84010335,2.662234731,0.139554281,1.1244727167916924,1.262909809962677,0.341527771,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,37919.247440935214,270.3214537053168,37919.247440935214,534.9188056,37384.32864,-4.882352941,0.7050252739313246,0.29495955527878076,0.2483715264749322,0.23436356702645122,13.824834313697838,0.018130281,110322.45565460273,161.4988499599314,429.94764414820605,4.400686179906188e-07,0.000204403,2.7249024801146123e-09,4.7541404823538094e-07,GOOD,0.332418674,0.35228740820875265,,2564.221676,37696.41306
504,Vineyard,Sacramento River,76.86206361,1803.272902,10.13309673,2.661751325,0.302297005,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,18138.844323897807,129.97261562389215,18138.844323897807,534.9188056,17603.92552,-4.882352941,0.5337092041386511,0.46627595017968715,0.8047773632643825,0.5305741468180853,8.923631943845452,0.10007938026929189,80.26858161761989,76.86206344082164,204.58761987023712,1.6917836376251216e-07,7.978591469282037e-05,2.201064554042256e-09,3.899839278065868e-07,GOOD,0.9941259073363267,1.5078948555200695,,1803.272902,17917.75161
506,Alfalfa,Sacramento River,12642.38466,270.2935645,6.452946815,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1566.644761167272,9.356113273239695,1566.644761167272,530.5656128,1036.079148,-4.882352941,0.018213564,0.9817822699257324,0.027826251237071786,0.035317428972633756,2.9039249371265607,4.2526344757030235e-05,14235462.778828515,12642.382118545867,44723.81183670662,0.002541454,0.015887806373939384,2.010264835882502e-07,3.5524254479746433e-07,GOOD,1.939072961544676,1.5277763122781245,,270.2935645,1117.936758
506,Almonds & Pistachios,Sacramento River,213146.605,4607.425785,0.845932913,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3716.208689145362,20.46693756714689,3716.208689145362,530.5656128,3185.643076,-4.882352941,0.03737384,0.9626222041076852,0.0359183,0.11398637903761785,0.4357144490800157,1.1729016279663473e-05,22296593.037458666,213146.60191926663,770241.9378533972,0.003080733,0.12333838816266507,1.445358879807591e-08,1.601293857827307e-07,GOOD,3.0498974152879694,0.9610545813701002,,4607.425785,3244.01204
506,Citrus & Subtropical,Sacramento River,1310.232581,959.6666667,3.766666667,2.972946835,0.183365181,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3465.4108454818884,23.053176048025826,3465.4108454818884,530.5656128,2934.845233,-4.882352941,0.10242743595251928,0.897557701,0.14241072325761742,0.050623103,2.382426664,0.005870948,228.12732094944698,1310.2325758391194,3895.2512421424412,5.1608806188596645e-06,0.000562655,3.938904201970585e-09,1.4444647431841887e-07,GOOD,0.49423381869050864,1.3903572019867076,,959.6666667,3171.794905
506,Corn,Sacramento River,12510.63153,231.6008021,6.049718014,2.826875063,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1258.8960304142192,9.382411724,1258.8960304142192,530.5656128,728.3304176,-4.882352941,0.052817429069956755,0.9471555053310604,0.022257732,0.13970000702572716,3.3856324914166227,0.00026644,97548.47656990254,12510.631102599811,35365.98563937519,0.0004274,0.006655163,3.4162958793281745e-08,1.8817974325467258e-07,GOOD,2.644960375498291,0.4214088525991567,,231.6008021,999.9696582
506,Cotton,Sacramento River,1065.945079,1699,0.8,2.633766816,0.148539114,1.334590964860844,0.041198802,0.68,0.17,378.6944542,1135.122209,199.4393382,50,131.6883408,1226.839652,9.779939435872524,1226.839652,530.5656128,696.2740389,-4.882352941,0.076118001,0.9238495249009573,0.025394151053908937,0.14453249283546485,0.4820585822956203,0.00137961,115997.39292477512,1065.945000869995,2807.450157223539,7.813000502210343e-05,0.000619525,7.329646391857251e-08,2.206717799015251e-07,GOOD,1.8987951731454202,0.3336155801462545,,1699,1010.839289
506,Cucurbits,Sacramento River,7516.208627,203,12,1.97136542,0.087908733,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2336.461468,23.307557018376357,2336.461468,530.5656128,1805.895856,-4.882352941,0.46296137435757295,0.5368637974015757,0.17789152624166912,0.062270831414042035,10.336798954200363,0.002660916,0.00139892,7516.208617010592,14817.191628613751,9.989407772081904e-06,0.00214816,1.3290487621907657e-09,1.4497750108558882e-07,GOOD,0.13450545739469513,0.38424701518246485,,203,2236.143548
506,Dry Beans,Sacramento River,3373.102493,1260.970919,1.147383701,2.293810917,0.272510229,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,1331.2647230195914,11.92460869542926,1331.2647230195914,530.5656128,800.6991102,-4.882352941,0.16775278585837888,0.8321729210996773,0.094544887,0.43053339,0.8096400160228092,0.000176466,2502922.0702863596,3373.102060154532,7737.257179965274,0.000432845,0.002142638,1.283226551256049e-07,2.769246773819522e-07,GOOD,2.5664753522934403,0.5635965250716192,,1260.970919,1182.567252
506,Grain,Sacramento River,26284.9096,181.9223041,3.138535133,0.78906264,0.351483763,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,530.5656127711599,13.458604531456436,530.5656127711599,530.5656128,0,-4.882352941,0.9760840379105166,0.022814130590167705,0.7053986639033152,3.037312375214743,3.169883065915322,5.141167962591553e-05,1769.942019,26284.926759850023,20740.450623304903,-0.01715985,-0.010462168,6.528403667686608e-07,5.044332462933556e-07,GOOD,3.1117324505343373,0.7226823065494933,,181.9223041,538.7777743
