g,basin,i,p,y,xland,xlandsc,difflandsc,xwater,xwatersc,grev,gross_revenue,revdiff,iterations,statussc,lambdawater,HR_Region,IMPLAN_category,crop_class
CLS01-SC-ColusaCountyWD,CLS,Walnuts,1949.323208,2.037882063,699.8903918,691.5235001048391,8.366891695160916,2474.662603368079,2438.9663434565505,2780308.1428348054,2747070.74254639,33237.40028841607,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
CLS02-North-WAs,CLS,Alfalfa,187.2098036,5.87624882,4096.807543,3564.9262846754214,531.8812583245785,14618.77491457273,12689.043051293715,4506862.6942867655,3921744.702832866,585117.9914539,2,Good,77.88860736634784,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
CLS02-North-WAs,CLS,Beans Dry,1054.225767,1.083582552,438.754107,209.77917016971702,228.97493683028296,911.8772855687484,434.9010600962088,501206.6504599072,239639.27297670345,261567.37748320375,2,Good,77.88860736634784,Sacramento River,Other field and grain,Field and grain
CLS02-North-WAs,CLS,Corn,166.7194068,5.454093572,5274.242618,3020.803753598728,2253.4388644012724,12552.69743084,7171.539079632906,4795885.927230166,2746826.6555211777,2049059.2717089886,2,Good,77.88860736634784,Sacramento River,Corn,Corn
CLS02-North-WAs,CLS,Cotton,1657.32655,0.8275,63.331044,40.774986386551554,22.556057613448445,176.16585408111035,113.13886341350982,86854.58259649605,55920.354368100176,30934.228228395892,2,Good,77.88860736634784,Sacramento River,Other field and grain,Field and grain
CLS02-North-WAs,CLS,Cucurbits,161.7514,13.41,638.95433,603.8109489571667,35.14338104283331,1294.9474423463182,1220.6642025231952,1385947.0669158662,1309718.0414739049,76229.0254419616,2,Good,77.88860736634784,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS02-North-WAs,CLS,Field and Grain,173.2298426,2.485487486,9589.489405,9196.78883319082,392.7005718091805,10804.158066163163,10335.811029998562,4128856.369294424,3959774.9731259807,169081.39616844337,2,Good,77.88860736634784,Sacramento River,Other field and grain,Field and grain
CLS02-North-WAs,CLS,Orchards,2061.666385,2.066393172,1699.27859,1663.5431393762187,35.73545062378116,4961.85057771488,4845.360155931052,7239289.319033806,7087048.6755430885,152240.64349071775,2,Good,77.88860736634784,Sacramento River,Trees and Vine,Trees and vines
CLS02-North-WAs,CLS,Pasture,215.0,3.5,7134.15345,5615.593945770712,1518.559504229288,29047.894799628048,22807.66438973116,5368450.471125,4225734.444192461,1142716.0269325394,2,Good,77.88860736634784,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
CLS02-North-WAs,CLS,Rice,370.9204663,4.450435008,1914.465719,1454.7326282474137,459.73309075258635,8615.095735500001,6529.931019863504,3160318.5070663607,2401410.692422845,758907.8146435157,2,Good,77.88860736634784,Sacramento River,Corn,Field and grain
CLS02-North-WAs,CLS,Safflower,429.9064999,1.059039203,323.861152,1.1306010211350478e-06,323.86115086939895,606.6998913053797,2.226783318666174e-06,147450.04338843707,0.000514748893443614,147450.04287368822,2,Good,77.88860736634784,Sacramento River,Other field and grain,Field and grain
CLS02-North-WAs,CLS,Subtropical,942.1801854,4.535541375,7008.989906,6935.2170796381915,73.77282636180826,16987.24284613549,16766.423062721322,29951497.035368305,29636243.82203796,315253.21333034337,2,Good,77.88860736634784,Sacramento River,Trees and Vine,Trees and vines
CLS02-North-WAs,CLS,Sunflowers,3239.762235,0.609912532,1049.442492,897.7279470287987,151.71454497120124,2602.61738016,2220.7993732691057,2073668.547250184,1773884.9169270147,299783.6303231693,2,Good,77.88860736634784,Sacramento River,Other field and grain,Field and grain
CLS02-North-WAs,CLS,Tomatoes Processing,77.35725946,46.64298896,515.626263,401.5356359524216,114.09062704757838,1344.0657923918752,1044.0528736319357,1860469.1722167104,1448810.360995736,411658.81122097466,2,Good,77.88860736634784,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS02-North-WAs,CLS,Truck,742.4217034,17.44810947,159.206425,157.54465488322526,1.6617701167747327,414.20204909473546,408.8539765095042,2062336.9690086327,2040810.6396169746,21526.329391658306,2,Good,77.88860736634784,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS02-North-WAs,CLS,Almonds,5165.974452,0.856578131,47875.74192,46198.35008366616,1677.391836333838,169029.89679168936,162699.93321147404,211853066.01107356,204430505.2490268,7422560.762046754,2,Good,77.88860736634784,Sacramento River,Trees and Vine,Trees and vines
CLS02-North-WAs,CLS,Berries,5388.84825,4.3725,73.470798,72.85959008864346,0.6112079113565443,197.90881579904647,195.77174282009798,1731173.2354211942,1716771.502947591,14401.732473603217,2,Good,77.88860736634784,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS02-North-WAs,CLS,Pistachios,3834.493456,1.253131426,1460.470132,1412.2628715206263,48.207260479373645,5866.000259411606,5658.19407822416,7017740.451332303,6786098.574856041,231641.87647626176,2,Good,77.88860736634784,Sacramento River,Trees and Vine,Trees and vines
CLS02-North-WAs,CLS,Walnuts,1949.323208,2.037882063,16258.06422,16064.036930972297,194.02728902770286,56766.12493662621,55948.44338100407,64585010.549072094,63814238.928349465,770771.6207226366,2,Good,77.88860736634784,Sacramento River,Trees and Vine,Trees and vines
CLS03-IDs,CLS,Alfalfa,187.2098036,5.87624882,7001.673736,5697.057984896941,1304.6157511030588,23502.284842840556,19075.316635609564,7702480.975037065,6267284.42325575,1435196.5517813163,3,Good,104.05450367428703,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
CLS03-IDs,CLS,Beans Dry,1054.225767,1.083582552,2607.765091,161.01280589207528,2446.7522851079248,5598.002396215922,344.7767179501347,2978956.0612509213,183931.47285643133,2795024.58839449,3,Good,104.05450367428703,Sacramento River,Other field and grain,Field and grain
CLS03-IDs,CLS,Corn,166.7194068,5.454093572,5950.540547,5.427998606507573e-13,5950.540546999999,15084.620286645,6.04483982761485e-08,5410845.828626572,4.935696746511447e-10,5410845.828626571,3,Good,104.05450367428703,Sacramento River,Corn,Corn
CLS03-IDs,CLS,Cotton,1657.32655,0.8275,2106.341442,891.1167833075397,1215.2246586924603,5883.713760617886,2482.9632241306977,2888716.105021285,1222111.1696644158,1666604.9353568691,3,Good,104.05450367428703,Sacramento River,Other field and grain,Field and grain
CLS03-IDs,CLS,Cucurbits,161.7514,13.41,5276.415198,4.47842088931361e-16,5276.415198,10702.328824851194,6.044240569273367e-08,11444999.781906791,9.714081280205024e-13,11444999.781906791,3,Good,104.05450367428703,Sacramento River,Vegetables and non-tree fruits,Vegetables
