g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
CLS02-North-WAs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,438.754107,438.7542711889869,911.8772855687484,911.8766261805717,501206.6504599072,501206.83801966073,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Corn,Corn,CLS,Corn,166.71940680000003,5.454093572000001,5274.242618,5274.243055574274,12552.69743084,12552.68406505045,4795885.927230168,4795886.325117875,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Cotton,1657.32655,0.8275,63.33104399999999,63.3310389810913,176.16585408111033,176.1656668212285,86854.58259649604,86854.57571337535,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,638.95433,638.9527700164108,1294.9474423463182,1294.9421486615688,1385947.0669158662,1385943.6831768753,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Field and Grain,173.22984259999996,2.485487486,9589.489405,9589.492473469794,10804.158066163163,10804.149126866027,4128856.369294423,4128857.690456637,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,1699.27859,1699.278580202648,4961.850577714881,4961.845149314619,7239289.319033806,7239289.277294997,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CLS,Pasture,215.0,3.5,7134.15345,7134.1529854204855,29047.894799628048,29047.856838406235,5368450.471125,5368450.121528915,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Corn,Field and grain,CLS,Rice,370.9204663,4.450435008,1914.465719,1914.4654408839858,8615.095735500001,8615.084575631121,3160318.5070663607,3160318.047964284,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Safflower,429.9064999,1.059039203,323.861152,323.86142198234575,606.6998913053797,606.6996979943342,147450.04338843707,147450.16630811532,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Subtropical,942.1801854,4.535541375,7008.989906,7008.989922880479,16987.24284613549,16987.22439494831,29951497.035368305,29951497.10750361,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Sunflowers,3239.762235,0.6099125320000001,1049.442492,1049.4425135401925,2602.61738016,2602.6145717801082,2073668.5472501845,2073668.589812993,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Tomatoes Processing,77.35725946,46.64298896,515.626263,515.6262626079804,1344.0657923918752,1344.064345710022,1860469.1722167104,1860469.1708022356,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Truck,742.4217034,17.44810947,159.206425,159.20642495762593,414.20204909473546,414.20162655581385,2062336.9690086327,2062336.9684597251,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Almonds,5165.974452,0.8565781309999999,47875.74192,47875.74082240719,169029.89679168936,169029.7076033574,211853066.0110735,211853061.15415865,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Berries,5388.84825,4.3725,73.470798,73.4707978989855,197.90881579904647,197.90862711143916,1731173.2354211942,1731173.2330410157,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Pistachios,3834.493456,1.253131426,1460.470132,1460.4700908175423,5866.000259411606,5865.993681114949,7017740.451332303,7017740.253445477,2,Good,0.000158031218386756
CLS02-North-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Walnuts,1949.323208,2.037882063,16258.064219999998,16258.064096904784,56766.124936626205,56766.06216008321,64585010.54907209,64585010.06007748,2,Good,0.000158031218386756
CLS03-IDs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,7001.673736,7001.674712291898,23502.284842840556,23502.273988965415,7702480.975037065,7702482.049047374,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,2607.765091,2607.769744572749,5598.002396215922,5598.009143339543,2978956.0612509213,2978961.377216226,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Corn,Corn,CLS,Corn,166.71940680000003,5.454093572000001,5950.540547,5950.545520926001,15084.620286645,15084.623899525712,5410845.828626574,5410850.351433627,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Cotton,1657.32655,0.8275,2106.341442000001,2106.3428335413464,5883.7137606178885,5883.714224137942,2888716.105021286,2888718.0134335766,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,5276.415198,5276.400555444565,10702.328824851194,10702.286113876113,11444999.781906791,11444968.02094078,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Field and Grain,173.22984259999996,2.485487486,10961.92117,10961.928412516958,10541.71419547064,10541.714973776985,4719771.421704582,4719774.540047072,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Grapes Wine,730.6198687000001,7.837965953999999,353.25417410000006,353.218407372011,860.7626710080848,860.6069501990669,2022936.0473389972,2022731.226536727,2,Good,8.183066439867035e-05
CLS03-IDs,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,1692.695334,1692.6953940504281,5509.514330311369,5509.511425583855,7211243.243996007,7211243.499823643,2,Good,8.183066439867035e-05
