g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
11,Onions and Garlic,San Joaquin River,171.6374832,248.2454,30.0225,1.480822037,1196.627996,74.04110185,2086.336507,3108.934795,0.41,0.17,50,987.0071216499999,1.0977591532913127,987.0071216499999,64.81689691,922.1902247,-4.882352941,0.2770293660867202,0.0638666,0.2646854665901339,0.3944185676912364,29.68003297271422,0.014210325,13008.728788982107,171.63752761208082,254.16458360418991,-4.44E-05,-1.61E-05,2.587551390138049e-07,6.337001569040446e-08,GOOD,248.2454,987.0071217
11,Orchards,San Joaquin River,3827.164118,3117.281059,2.261810582,3.445837194,1004.69895,172.2918597,2437.46994,2566.6293,0.13,0.17,50,869.6092366,1.0863701462459177,869.6092366,64.81689691,804.7923397,-4.882352941,0.023652602917364873,0.9131987787667724,0.030759353784807993,0.032389264531054715,1.377991375439084,0.002009924,410.8186504180548,3827.164452996225,13187.782843282963,-0.000334996,0.001622064,8.753118876959558e-08,1.2299743348351847e-07,GOOD,3117.281059,869.6092366
11,Pasture,San Joaquin River,23071.12955,187.333843,2.812754652,4.600187047,99.76076638,46.00187047,59.73354402,256.6110606,0.74,0.17,10,64.81689690528773,1.0859654809606532,64.81689690528773,64.81689691,0,-4.882352941,0.002065675,0.9939637657980912,0.000749738,0.003220821,1.0062729593898403,5.857326354232844e-05,440936.36689769843,23071.326106940396,106132.29598029242,-0.19655694,-0.784664723,8.519606288399408e-06,7.393324694454539e-06,GOOD,187.333843,64.81689691
11,Pistachios,San Joaquin River,232.7180132,4636.170568,1.382293453,3.805829794,1670.783317,190.2914897,333.5859804,1653.809241,0.4,0.17,50,2560.0781950376904,1.5859235528837905,2560.0781950376904,64.81689691,2495.261298,-4.882352941,0.031098039200129123,0.9542940389084541,0.002451952,0.012155969761672422,0.7392956464716355,0.010742614916755398,31833.00985,232.71803993709327,885.6850654964217,-2.67E-05,8.274062361124379e-05,1.1489051877453968e-07,9.341990635830222e-08,GOOD,4636.170568,2560.078195
11,Potatoes,San Joaquin River,780.6514587,960.1331262,14.27542043,3.305132031,1399.755757,165.2566016,1460.614703,8489.822961,0.41,0.17,50,2190.8540227252483,1.1335747083005903,2190.8540227252483,64.81689691,2126.037126,-4.882352941,0.051171741391058144,0.8070191358952465,0.020816018013411763,0.12099310470028372,10.217095692131517,0.003124345,98456.18307187039,780.6515700739426,2580.155975430814,-0.000111374,0.000165765,1.4266794908009315e-07,6.42462782211279e-08,GOOD,960.1331262,2190.854023
11,Rice,San Joaquin River,351.5468328,356.2897,4.3575,4.833919598,193.7346724,241.69597989999997,110.9689819,890.6135194,0.2,0.17,50,115.51921414999995,1.0289413505337868,115.51921414999995,64.81689691,50.70231724,-4.882352941,0.000582079,0.9975327399775927,0.000208866,0.001676315,1.3187587533505845,0.014222856056406491,115.79977146012129,351.5471591016023,1699.350291822289,-0.000326302,-0.001167136,9.281881440566888e-07,6.868132762653856e-07,GOOD,356.2897,115.5192142
11,Safflower,San Joaquin River,6.30571216,447.9696,1.4025,2.40565496,122.8862062,24.0565496,70.96245709,266.541912,0.74,0.17,10,143.8302391,1.2351387046038915,143.8302391,64.81689691,79.0133422,-4.882352941,0.1133877265476026,0.743130858,0.030167887361856733,0.11331352814110865,1.0702207222186673,0.214305905,243.9027936,6.305741778737949,15.16943886776943,-2.96E-05,-7.11E-05,4.69712812729741e-06,4.689301120691813e-06,GOOD,447.9696,143.8302391
11,Subtropical,San Joaquin River,286.7821556,826.2221391,4.405931004,3.247465856,735.8244443,162.3732928,1573.318433,583.0178829,0.13,0.17,50,585.7436858518913,1.1350114681006451,585.7436858518913,64.81689691,520.9267889,-4.882352941,0.024233407,0.9362261598604186,0.028849716773760352,0.010690716159493683,2.5308378724351774,0.026822825416783682,21.380507679711744,286.7821920988806,931.3151797525272,-3.65E-05,7.866855196425604e-05,1.272704033056845e-07,8.447037805181897e-08,GOOD,826.2221391,585.7436859
11,Truck,San Joaquin River,1929.470914,548.8387,13.5325,2.667732673,393.2180654,133.38663365000002,2180.74051,1769.086233,0.41,0.17,50,2950.728265700001,1.580161681804525,2950.728265700001,64.81689691,2885.911369,-4.882352941,0.14319927075975739,0.6876555776077018,0.093386801,0.075758351,10.702403486344545,0.00126409,226321.50293597477,1929.4712192795107,5147.312338696532,-0.00030528,0.000260184,1.582192861769944e-07,5.054762785194265e-08,GOOD,548.8387,2950.728266
11,Walnuts,San Joaquin River,25623.24038,2092.008952,1.920558157,4.952669773,1028.336919,247.6334887,360.3252181,1097.455103,0.13,0.17,50,1284.0741285306221,1.3997252287250195,1284.0741285306221,64.81689691,1219.257232,-4.882352941,0.003759537,0.9938703917157247,0.00058582,0.001784252,0.6853457099516487,0.000300208,3416.3984209940336,25623.24205060321,126903.42858596702,-0.001670603,0.019530372010194696,6.519874872656611e-08,1.5389945899886174e-07,GOOD,2092.008952,1284.074129
