g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
11,Potatoes,San Joaquin River,780.6514587,919.9316484,16.13648405,3.305132031,1515.990126,165.2566016,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176,2386.503184,1.134823369,2386.503184,0.17,68.61215883,2317.891025,-4.882352941,0.054728834,0.794137811,0.022184713,0.128948643,11.70070364,0.003124345,107059.4096,780.65146,2580.15584,-1.28E-06,0.000300992,1.64E-09,1.17E-07,GOOD,919.9316484,2005.564898
11,Rice,San Joaquin River,351.5468328,573.2274458,4.688550562,4.833919598,335.3762222,241.6959799,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,376.6831724,1.107620191,376.6831724,0.17,68.61215883,308.0710135,-4.882352941,0.001337383,0.995406116,0.0003608,0.002895701,1.587048734,0.014222856,304.8271988,351.5468286,1699.348888,4.19E-06,0.000236322,1.19E-08,1.39E-07,GOOD,573.2274458,-549.9597817
11,Safflower,San Joaquin River,6.30571216,575.1459791,1.245291589,2.40565496,140.0879783,24.0565496,80.89587427,303.852797,0.74,10,0.195592287,0.424242424,0.112947658,167.3312511,1.242716297,167.3312511,0.17,68.61215883,98.71909222,-4.882352941,0.125981236,0.716347712,0.033151349,0.124519702,0.968791195,0.214305905,288.4885682,6.305713089,15.16939303,-9.29E-07,-2.53E-05,1.47E-07,1.67E-06,GOOD,575.1459791,133.5160428
11,Subtropical,San Joaquin River,286.7748395,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,0.02682351,25.10427161,286.7748399,931.2913919,-4.40E-07,0.000107739,1.53E-09,1.16E-07,GOOD,950.3385633,333.0960256
11,Truck,San Joaquin River,1929.470914,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.00126409,459184.2538,1929.470918,5147.311997,-4.49E-06,0.000602016,2.33E-09,1.17E-07,GOOD,690.3355797,5724.023137
11,Walnuts,San Joaquin River,25596.28964,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.000300524,2412.131015,25596.28955,126769.9531,8.90E-05,0.016939819,3.48E-09,1.34E-07,GOOD,1802.497789,-86.76907771
12,Alfalfa,San Joaquin River,10092.25907,290.4258221,6.981811447,4.134965358,571.5529894,41.34965358,305.9903334,377.9325916,1.86,10,0.281872792,0.186385019,0.150905255,730.8727613,1.489129543,730.8727613,0.17,68.61215883,662.2606024,-4.882352941,0.02941147,0.955144134,0.006909895,0.008534501,3.712508039,5.33E-05,13528798.48,10092.25871,41731.11623,0.000362715,0.025406108,3.59E-08,6.09E-07,GOOD,290.4258221,601.2430297
12,Almonds,San Joaquin River,117053.0121,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,2.14E-05,10256771.7,117053.0117,482902.0887,0.000412783,0.058336315,3.53E-09,1.21E-07,GOOD,4775.762292,1034.316692
12,Beans Dry,San Joaquin River,393.2915124,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.001513478,251907.7207,393.2915503,870.0006725,-3.79E-05,1.61E-05,9.64E-08,1.85E-08,GOOD,1593.773361,451.4553887
12,Berries,San Joaquin River,197.6429401,6918.471451,4.49116409,3.460572945,1405.645459,173.0286473,12947.16439,12034.90563,0.25,50,0.045238346,0.387323291,0.416682812,4511.246412,1.114139416,4511.246412,0.17,68.61215883,4442.634253,-4.882352941,0.056296005,0.706013199,0.123185221,0.114505575,3.499120826,0.020238517,5292.629861,197.6429401,683.9577371,1.31E-08,7.42E-05,6.65E-11,1.08E-07,GOOD,6918.471451,4085.496804
