g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,135.877132,137.04253760969365,426.438033529295,429.0203100041603,578865.5704704351,583830.4469964186,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Pasture,215.0,3.5,166.062696,2.828123743193799e-18,672.0003765353542,1.536373437518488e-08,124962.17873999999,2.1281631167533338e-15,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Corn,Field and grain,CLS,Rice,370.9204663,4.450435008,286.082715,2.637400635012556e-18,1287.3722175,1.5363734381432458e-08,472253.166924579,4.35370868992758e-15,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Subtropical,942.1801854,4.535541375,315.2866013,274.0169074807074,786.520726382743,681.8595339670944,1347313.3548165648,1170955.6872129985,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Sunflowers,3239.762235,0.609912532,576.61912,59.49749071534576,1239.731108,127.59980477523598,1139382.9981177086,117565.35120051377,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Tomatoes Processing,77.35725946,46.64298896,386.858406,390.72699394975047,986.4889353,993.8629400728196,1395852.3644399706,1409810.9021192659,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Truck,742.4217034,17.44810947,64.679023,65.32581387688681,157.81681612,158.99649683100492,837842.6954330496,846221.1307670581,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Almonds,5165.974452,0.856578131,28944.50708,24340.09151638372,104534.60667448564,87685.7534992434,128081201.94406015,107706383.39876847,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Pistachios,3834.493456,1.253131426,969.9866864,713.3839538633376,4003.3562175572197,2936.9374584888797,4660906.551427552,3427898.538056595,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Walnuts,1949.323208,2.037882063,699.8903918,632.0597485312755,2474.662603368079,2229.2408767477855,2780308.1428348054,2510851.536452861,6,Good,988.2122676237062
CLS02-North-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,4096.807543,0.04055332000230114,14618.77491457273,0.11523639258873442,4506862.6942867655,44.61235806893854,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,438.754107,416.6113388986121,911.8772855687484,437.9130398224516,501206.6504599072,475912.0664208178,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Corn,Corn,CLS,Corn,166.7194068,5.454093572,5274.242618,0.0002443462674069806,12552.69743084,0.1164766199537359,4795885.927230166,0.22218485384593986,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Cotton,1657.32655,0.8275,63.331044,60.097667506127806,176.16585408111035,80.66894095767348,86854.58259649605,82420.20810943421,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,638.95433,606.6602721561708,1294.9474423463182,705.086833671742,1385947.0669158662,1315898.4693150544,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Field and Grain,173.2298426,2.485487486,9589.489405,9103.150669162102,10804.158066163163,3821.714332288533,4128856.369294424,3919458.068478542,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,1699.27859,1584.9228819994435,4961.85057771488,5134.61430565279,7239289.319033806,6752109.606201094,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Pasture,215.0,3.5,7134.15345,10.236199437468946,29047.894799628048,34.80071282841624,5368450.471125,7702.7400766953815,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Corn,Field and grain,CLS,Rice,370.9204663,4.450435008,1914.465719,1815.6379841785435,8615.095735500001,5103.039728733942,3160318.5070663607,2997177.8896773816,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Safflower,429.9064999,1.059039203,323.861152,307.5266633459266,606.6998913053797,0.11158209030475857,147450.04338843707,140013.14938031888,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Subtropical,942.1801854,4.535541375,7008.989906,6478.065481490066,16987.24284613549,17290.502028475355,29951497.035368305,27682699.171484794,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Sunflowers,3239.762235,0.609912532,1049.442492,978.8842050878517,2602.61738016,2695.5690878316477,2073668.547250184,1934247.3770260455,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Tomatoes Processing,77.35725946,46.64298896,515.626263,481.0857873445894,1344.0657923918752,1393.175155889502,1860469.1722167104,1735841.132952944,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Truck,742.4217034,17.44810947,159.206425,148.55505061326892,414.20204909473546,429.5350541810467,2062336.9690086327,1924360.6080137347,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Almonds,5165.974452,0.856578131,47875.74192,43717.83093310031,169029.89679168936,163145.69835945213,211853066.01107356,193454057.33883724,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Berries,5388.84825,4.3725,73.470798,68.55786508040755,197.90881579904647,205.2708920360139,1731173.2354211942,1615411.0794443644,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Pistachios,3834.493456,1.253131426,1460.470132,1351.042183995979,5866.000259411606,5997.547379863054,7017740.451332303,6491925.564476332,10,Non-optimal,N/A
CLS02-North-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Walnuts,1949.323208,2.037882063,16258.06422,14995.74375743319,56766.12493662621,56951.44649421415,64585010.549072094,59570454.12415062,10,Non-optimal,N/A
CLS03-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,7001.673736,7001.673736,23502.284842840556,23502.284842840556,7702480.975037065,7702480.975037065,10,Infeasible,N/A
CLS03-IDs,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,2607.765091,2607.765091,5598.002396215922,5598.002396215922,2978956.0612509213,2978956.0612509213,10,Infeasible,N/A
