g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
SACRAMENTO VALLEY - COLUSA,Citrus & Subtropical,Sacramento River,1868.061581,959.6666667,3.766666667,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,10,29.72946835,3584.3287188818886,113.18532249180922,3584.3287188818886,475.896040943,3108.43267793889,-4.88235294117647,0.3711166326267833,0.628831301217974,1.3654344336633239e-05,3.84118109059076e-05,3.0798652279139147,0.004117801988192429,344.48858936704903,1868.0615794155146,5553.6447812240385,1.5844852896407247e-06,0.0029835950072083506,8.481975678727503e-10,5.372315878779116e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Corn,Sacramento River,12082.59918,228.9332494,6.035558353,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,10,28.26875063,1352.5914741086021,45.14614201112488,1352.5914741086021,475.896040943,876.695433165602,-4.88235294117647,0.230488891253077,0.7694011779930846,9.48230517336271e-05,1.5107702104418196e-05,4.488043161682191,0.0002758788306783287,113396.13775143777,12082.599115045945,34155.97956679241,6.495405432360712e-05,0.018751373834675178,5.3758345663840125e-09,5.489921172850641e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Cotton,Sacramento River,1167.404571,1699.0,0.8,2.633766816,0.148539114,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,10,26.33766816,1332.1903243,47.926387745417856,1332.1903243,475.896040943,856.294283357,-4.88235294117647,0.3090362342500779,0.6908423471562278,0.00010327357512353285,1.8145018570666313e-05,0.6315526943272958,0.001259707450035432,156228.52068693363,1167.4045620548895,3074.6697300055084,8.945110494096298e-06,0.001689941007498419,7.662391184946198e-09,5.496330425863247e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Cucurbits,Sacramento River,6312.222009,203.0,12.0,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,10,19.7136542,2415.316085234,112.16445369488719,2415.316085234,475.896040943,1939.420044291,-4.88235294117647,0.8165133788486151,0.18318834720702787,7.733837511239179e-05,0.0002209355692445711,11.532007223051734,0.0031684563647292334,0.0012616944603134638,6312.222010804589,12443.689517423152,-1.8045893739326857e-06,0.006674482376183732,2.8588813437798804e-10,5.363745846290752e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Dry Beans,Sacramento River,4017.201241,1251.059374,1.148049702,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,10,22.93810917,1412.4780213090064,57.4733500852886,1412.4780213090064,475.896040943,936.581980366007,-4.88235294117647,0.5166556364368751,0.4831287046525246,0.00017682765771623364,3.8831252883985746e-05,1.0062084432495164,0.00014817233679085564,3486553.9724803315,4017.2012481265997,9214.695094897823,-7.126599484763574e-06,0.004967493925505551,1.7740210303702765e-09,5.390836263656093e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Grain,Sacramento River,20557.95647,199.7380887,3.057075601,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,10,7.8906264,601.7730130321438,65.7741926160791,601.7730130321438,475.896040943,125.876972089144,-4.88235294117647,0.9949089168265296,0.004100817532527606,0.0008036276524019821,0.00018663798854078574,3.0626517751885727,6.573373931029398e-05,497146.6260936418,20557.962270360615,16221.511232962304,-0.005800360613648081,0.004172260978521081,2.8214675043759743e-07,2.572053765813781e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Onions & Garlic,Sacramento River,188.4021885,216.0,21.2,2.113494575,0.178481578,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,10,21.13494575,4557.231080649999,198.5142185495281,4557.231080649999,475.896040943,4081.335039707,-4.88235294117647,0.8480135734740509,0.15186445677002317,7.127580680450153e-05,5.069394912153873e-05,20.516140704714935,0.012945838950506154,27506.555264355422,188.40218862731749,398.1867940079982,-1.2731749166050577e-07,0.00020930487914938567,6.757750144739203e-10,5.256446780231131e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Other Deciduous,Sacramento River,77564.08407,1649.410689,1.87938136,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,10,33.27741402,3065.6911360053573,86.37243171199711,3065.6911360053573,475.896040943,2589.79509506236,-4.88235294117647,0.2063839391202502,0.7935697387192477,2.2991911427516854e-05,2.3330249074725883e-05,1.36341277774485,9.917357736559542e-05,11917.322642648869,77564.08394772717,258113.0745027199,0.00012227283150423318,0.13936522777657956,1.5764104349364129e-09,5.39938369245519e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Pasture,Sacramento River,14272.52638,275.2428594,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1335.862379655,32.481239284148884,1335.862379655,475.896040943,859.966338712,-4.88235294117647,0.0388338129935466,0.9611561580796208,5.522298895450871e-06,4.506627936807892e-06,2.5860493942437595,0.00013738172636857933,881397.5746292329,14272.525945203284,56598.99928699332,0.00043479671512614004,0.03275946749636205,3.0463892905142424e-08,5.787990768017123e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Rice,Sacramento River,178565.7495,543.3848257,4.926284761,4.534377778,0.381523094,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,10,45.343777779999996,2630.518507156551,55.003346619562755,2630.518507156551,475.896040943,2154.62246621355,-4.88235294117647,0.03489834668707816,0.9650933684121659,7.230541316733168e-06,1.0543594392102066e-06,2.4865582880194026,2.8000890506720606e-05,518565.7455889463,178565.74835303612,809684.1225820916,0.0011469638848211616,0.44386262295302004,6.4232020308080505e-09,5.481920260651616e-07,GOOD,0,0
