g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
WESTLANDS W.D.,Cucurbits,Tulare Lake,13062.52963,654.3961754,16.06524008,2.44,492.5857301,50,6871.292173,2404.357716,0.05,50,0.17,0.046854775,0.228702604,0.653597591
BANTA-CARBONA I.D.,Field and Grain,San Joaquin River,146.8652744,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
BROADVIEW W.D.,Field and Grain,San Joaquin River,4764.912193,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
Byron Bethany (CVP),Field and Grain,San Joaquin River,1170.387636,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
CENTRAL CALIFORNIA I.D.,Field and Grain,San Joaquin River,4727.835628,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
CITY OF TRACY,Field and Grain,San Joaquin River,139.5354986,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
COLUMBIA CANAL CO.,Field and Grain,San Joaquin River,12.25061981,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
DEL PUERTO WATER DISTRICT,Field and Grain,San Joaquin River,2156.735989,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
FIREBAUGH CANAL W.D.,Field and Grain,San Joaquin River,1866.82392,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
FRESNO SLOUGH W.D.,Field and Grain,Tulare Lake,91.36137583,289.315121,2.652255461,3.26,145.2774366,25,86.98746477,373.6919674,0.74,25,0.17,0.189326621,0.486998112,0.113362702
GRASSLANDS W.D.,Field and Grain,San Joaquin River,484.2565142,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
HENRY MILLER RECLAMATION DIST. 2131,Field and Grain,San Joaquin River,3930.346126,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
JAMES I.D.,Field and Grain,Tulare Lake,164.2545862,289.315121,2.652255461,3.26,145.2774366,25,86.98746477,373.6919674,0.74,25,0.17,0.189326621,0.486998112,0.113362702
LAGUNA W.D.,Field and Grain,San Joaquin River,200.9997694,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
MERCY SPRINGS W.D.,Field and Grain,San Joaquin River,170.316609,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
ORO LOMA W.D.,Field and Grain,San Joaquin River,56.78375885,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
PACHECO W.D.,Field and Grain,San Joaquin River,281.603157,194.8087562,3.454627792,2.92,127.4152524,25,76.29216237,327.7457084,0.74,25,0.17,0.189326621,0.486998112,0.113362702
